date,amount,quantity,category
2022-01-01,955,1,B
2022-01-02,839,5,A
2022-01-03,804,8,B
2022-01-04,480,6,A
2022-01-05,952,1,B
2022-01-06,422,2,B
2022-01-07,856,4,B
2022-01-08,178,3,A
2022-01-09,706,3,C
2022-01-10,637,3,B
2022-01-11,449,6,C
2022-01-12,291,9,B
2022-01-13,508,4,C
2022-01-14,545,6,B
2022-01-15,895,7,C
2022-01-16,446,9,A
2022-01-17,799,8,A
2022-01-18,980,4,C
2022-01-19,392,4,C
2022-01-20,642,2,A
2022-01-21,619,6,B
2022-01-22,614,6,A
2022-01-23,326,7,B
2022-01-24,590,7,B
2022-01-25,638,9,A
2022-01-26,507,3,A
2022-01-27,239,7,A
2022-01-28,615,9,C
2022-01-29,476,3,C
2022-01-30,253,4,A
2022-01-31,606,9,B
2022-02-01,227,9,A
2022-02-02,652,9,C
2022-02-03,582,6,B
2022-02-04,625,3,A
2022-02-05,573,3,A
2022-02-06,550,1,A
2022-02-07,174,9,B
2022-02-08,737,5,B
2022-02-09,502,5,C
2022-02-10,721,4,B
2022-02-11,293,6,B
2022-02-12,544,1,C
2022-02-13,447,2,A
2022-02-14,190,7,A
2022-02-15,476,2,C
2022-02-16,807,9,A
2022-02-17,379,3,A
2022-02-18,270,4,A
2022-02-19,581,9,B
2022-02-20,285,1,B
2022-02-21,578,8,C
2022-02-22,260,4,A
2022-02-23,470,8,B
2022-02-24,862,7,C
2022-02-25,372,7,A
2022-02-26,347,4,A
2022-02-27,293,9,B
2022-02-28,329,2,B
2022-03-01,716,5,B
2022-03-02,929,4,C
2022-03-03,974,4,A
2022-03-04,824,7,B
2022-03-05,781,5,B
2022-03-06,561,2,A
2022-03-07,923,1,B
2022-03-08,144,4,C
2022-03-09,596,7,B
2022-03-10,451,1,C
2022-03-11,327,1,A
2022-03-12,977,4,B
2022-03-13,694,3,C
2022-03-14,126,4,C
2022-03-15,456,9,C
2022-03-16,181,2,C
2022-03-17,531,3,C
2022-03-18,112,9,B
2022-03-19,592,2,C
2022-03-20,160,2,A
2022-03-21,896,9,A
2022-03-22,689,7,B
2022-03-23,409,3,A
2022-03-24,447,9,B
2022-03-25,656,6,A
2022-03-26,497,1,C
2022-03-27,602,8,B
2022-03-28,851,7,A
2022-03-29,478,7,C
2022-03-30,403,4,B
2022-03-31,238,3,B
2022-04-01,217,2,C
2022-04-02,720,1,B
2022-04-03,323,6,C
2022-04-04,584,6,B
2022-04-05,307,8,A
2022-04-06,162,9,A
2022-04-07,652,5,B
2022-04-08,168,7,C
2022-04-09,784,9,C
2022-04-10,310,5,B
